nodeName	tradition	rawValue	spouseHint	match	confidence	action
Lakshmi	Hindu	wife of Viṣṇu	Viṣṇu	Vishnu (Hindu)	diacritic-match	EXISTS
Vishnu	Hindu	husband of Lakṣmī	Lakṣmī	Lakshmi (Hindu)	diacritic-match	EXISTS
Kartikeya	Hindu	husband of Vaḷḷi and Devasenā	Vaḷḷi		not-found	SKIP
Kartikeya	Hindu	husband of Vaḷḷi and Devasenā	Devasenā		not-found	SKIP
Parvati	Hindu	wife of Śiva	Śiva	Shiva (Hindu)	diacritic-match	EXISTS
Saraswati	Hindu	wife of Brahmā	Brahmā	Brahma (Hindu)	diacritic-match	EXISTS
Rama	Hindu	husband of Sītā	Sītā	Sita (Hindu)	diacritic-match	EXISTS
Indra	Hindu	husband of Indrāṇī	Indrāṇī		not-found	SKIP
Surya	Hindu	husband of Saṃjñā and Chāyā	Saṃjñā		not-found	SKIP
Surya	Hindu	husband of Saṃjñā and Chāyā	Chāyā		not-found	SKIP
Soma	Hindu	husband of 27 nakṣatras	27 nakṣatras		not-found	SKIP
Ravana	Hindu	husband of Mandodarī	Mandodarī		not-found	SKIP
Hades	Greek	husband of Persephone	Persephone	Persephone (Kore) (Greek)	loose-prefix-match	EXISTS
Poseidon	Greek	husband of Amphitrite (the Nereid sea-queen)	Amphitrite	Amphitrite (Greek)	exact-same-tradition	EXISTS
Oceanus	Greek	husband of Tethys	Tethys	Tethys (Greek)	exact-same-tradition	EXISTS
Jupiter	Roman	sister-brother to Juno (and husband)	Juno	Juno (Roman)	exact-same-tradition	EXISTS
Pluto	Roman	husband of Proserpina	Proserpina	Proserpina (Roman)	exact-same-tradition	EXISTS
Vertumnus	Roman	husband of Pomona	Pomona	Pomona (Roman)	exact-same-tradition	CREATED-MARRIED
Omecihuatl	Aztec	wife of Ometecuhtli	Ometecuhtli	Ometecuhtli (Aztec)	exact-same-tradition	EXISTS
Ometecuhtli	Aztec	husband of Omecihuatl	Omecihuatl	Omecihuatl (Aztec)	exact-same-tradition	EXISTS
Tlaloc	Aztec	husband of Chalchiuhtlicue	Chalchiuhtlicue	Chalchiuhtlicue (Aztec)	exact-same-tradition	EXISTS
Tonacacihuatl	Aztec	wife of Tonacatecuhtli	Tonacatecuhtli	Tonacatecuhtli (Aztec)	exact-same-tradition	EXISTS
