id	name	old_domain	new_domain	trigger	edges_kept	ids_kept	edges_rejected	ids_rejected
7204	Attar	Venus, aborted kingship, irrigation, dawning, masculine counterpart of Astarte	love, kingship, irrigation	N			Astarte	
6781	Attis	youthful consort of the Phrygian Mother Cybele; a vegetation-figure whose self-c	vegetation, death-and-rebirth, fertility, motherhood	N			Adonis|Osiris	
7219	Avalokiteshvara	bodhisattva of compassion; he who hears the cries of the world; one of the most 	compassion, wisdom, healing	N			Guanyin	Kannon
7345	Azazel	in Leviticus 16, wilderness-recipient of the Yom Kippur scapegoat; in 1 Enoch, c	scapegoat, fallen angels, forbidden arts, corruption	N				
7331	Baal-Hammon	chief god of Carthage and the Punic west, kingship, sun, divine consort of Tanit	kingship, sun, fertility, harvest, magic	Y	Saturn	Cronos		
7451	Bacchus	wine, ecstatic religion, the Bacchic mysteries; identified with Dionysus and Lib	wine, ecstasy, fertility, celebration, theater	Y				
7226	Barbelo	in the Sethian Gnostic systems, first emanation of the unknowable Monad; supreme	wisdom, motherhood, creation, feminine-principle	N			Sophia	
7213	Barong	protective beast-spirit of Balinese myth and ritual drama; benevolent 'king of t	protection, order, spirituality, ritual, myth	N				
7344	Beelzebub	prince of demons in the New Testament; Hebrew Bible: the Philistine god of Ekron	demons, death, chaos, darkness, temptation	N				Beelzebul|Baal-Zebub
7351	Behemoth	cosmic land-monster; primordial chaos-beast; Hebrew behemot; paired with Leviath	chaos, land, sea	N			Leviathan	
7507	Bhaisajyaguru	the Medicine Buddha; 'Master of Healing'; celestial Buddha who presides over the	healing	N				
7416	Bishamonten	war, warriors, dignity, protection of Buddhist law; one of the Seven Lucky Gods;	war, protection, wealth, dignity	Y		vaishravana|kubera		
6994	Britannia	Britain, the Roman province, conquest, northern frontier	war, conquest, frontier	N			Victoria|Minerva	
7498	Cao Guojiu	one of the Eight Immortals; most recently-added and the patron of actors and the	theater, acting	N				
7480	Centeotl	'Maize Ear' - god of young maize; central agricultural deity; sometimes paired o	maize, agriculture, harvest	Y	Chicomecoatl	xilonen		
7441	Cerberus	three-headed dog of Hades; guards the gates of the underworld so that the dead c	underworld, death, guardianship	N				
7516	Chaac	the Maya rain-god; god of thunder, lightning, storms, and agricultural fertility	rain, thunder, lightning, storms, fertility	N				
7470	Chalchiuhtlicue	'She of the Jade Skirt' - goddess of lakes, rivers, springs, fresh water; sister	water, childbirth, baptism	N				
7487	Chang'e	goddess of the moon; wife of the archer Hou Yi; she who consumed the elixir of i	moon, immortality, harvest	N				
7425	Chaos	primordial Yawning-Void from which everything else came; first of all things; no	chaos, creation, void	N				
7442	Chimera	fire-breathing composite monster: lion-fore, goat-middle, serpent-tail; slain by	fire, monsters, war	N				
7471	Coyolxauhqui	'She of the Golden Bells' - moon-goddess; sister of Huitzilopochtli and the 400 	moon, war, death-and-rebirth	N				
7458	Cupid	love, desire; identified with Greek Eros; son of Venus; central male figure of A	love, desire, marriage	Y				
6689	Cybele	the Phrygian Great Mother; goddess of the mountains, of wild nature and its anim	fertility, nature, mountains, wildlife, motherhood	N			Rhea	Magna Mater
7414	Daikokuten	wealth, harvest, kitchen; one of the Seven Lucky Gods; syncretic - combines the 	wealth, harvest, kitchen, smithing	N				
7500	Dizang	bodhisattva of the underworld and of vows; the Chinese form of Kshitigarbha; he 	underworld, vows, savior	Y		Kshitigarbha		
7502	Doumu	the Mother of the Great Dipper; goddess of the North Star and the seven stars of	motherhood, astral, magic	N			Xiwangmu	Tianhou
7312	Dumuzi	shepherding, fertility, dying-and-returning consort of Inanna, spring-summer veg	shepherding, fertility, death-and-rebirth, vegetation, mourning	N			Tammuz	
7415	Ebisu	fishing, merchants, prosperity, sea-borne luck; one of the Seven Lucky Gods; oft	fishing, merchants, prosperity, luck, sea-trade	Y				
7195	El	creation, fatherhood, kingship of the divine council, ageless wisdom, decree-giv	creation, fatherhood, wisdom, kingship, decree-giving, mountain	N			Baal	Yahweh
7318	Enkidu	wild-man companion of Gilgamesh, civilizational transformation via Shamhat, hunt	hunting, civilization, friendship, wildness	N				
7297	Enlil	wind, storm, executive sovereignty of the gods, calendar, kingship-conferral, th	wind, storm, kingship, calendar, executive sovereignty	N			Adad	Ishkur
7428	Erebus	primordial darkness; dark space between earth and Hades through which the dead p	darkness, underworld, death	N				
7455	Faunus	wild-places, forests, herds; rustic god of the agricultural population; identifi	wild-places, forests, herds, agriculture, fertility	Y	Pan			
6180	Ferentina	springs, the Latin League, political assembly	springs, politics	N				
7353	Frigg	queen of the Aesir, marriage, motherhood, foreknowledge, household, divine matro	marriage, motherhood, foreknowledge, household	N				Frigga
7419	Fukurokuju	happiness, wealth, longevity; one of the Seven Lucky Gods; Daoist origin - combi	happiness, wealth, longevity	N			Caishen|Zhongli Quan	
7367	Gefjun	agricultural plowing, virgin maidenhood, receipt-of-the-unmarried-dead, goddess 	agriculture, virginity, death, fertility	N				
7313	Geshtinanna	vine, dream-interpretation, scribal arts of the netherworld, sisterly devotion, 	vine, dream-interpretation, underworld, sisterly devotion, scribal arts	N				
7317	Gilgamesh	kingship of Uruk, heroic exploit, quest for immortality, builder of the walls of	kingship, heroism, immortality, underworld	N			Enkidu|Utnapishtim	
7340	God-the-Father	first person of the Christian Trinity, identified with YHWH of the Hebrew Bible,	creation, fatherhood, wisdom, justice, love	Y	El	God		
7493	Guanyin	goddess of compassion and mercy; the Chinese form of the bodhisattva Avalokitesh	compassion, mercy, healing	Y				
7421	Hades	underworld realm and its god; lord of the dead; chthonic counterpart of Olympian	underworld, death, wealth, mineral, chthonic	N				
7497	Han Xiangzi	one of the Eight Immortals; patron of musicians; immortal of the flute; traditio	music, immortality, flute	N				
7511	Hariti	protector-goddess of children, childbirth, and parents; a reformed child-devouri	children, childbirth, motherhood	N				
7496	He Xiangu	only female of the Eight Immortals; a Tang-dynasty woman who attained immortalit	immortality, household-management, unmarried-women, dietary-cultivation	N				
6754	Hecate	magic, witchcraft, crossroads, ghosts, moon, necromancy, entrance ways, child-re	magic, witchcraft, necromancy, moon, crossroads, child-rearing	N				Trivia|Hecat|Hekate
7459	Hercules	great hero of strength; identified with Greek Heracles; cult of Hercules Invictu	strength, war, heroism	Y				
7423	Hestia	hearth, home, sacred fire of the household and the polis; one of the three virgi	hearth, home, fire	N				
7397	Hiranyakashipu	demon kingship, tyranny, hostility to gods, self-deification, persecution of dev	kingship, tyranny, devotion, invulnerability	N				
7341	Holy Spirit	third person of the Christian Trinity; breath/wind of God; presence of God; sanc	spirituality, guidance, comfort, sanctification, wisdom, presence	N				
7417	Hotei	happiness, contentment, abundance; one of the Seven Lucky Gods; based on the his	happiness, abundance, contentment	Y	Budai|Maitreya			
7485	Huangdi	the Yellow Emperor; central culture-hero of Chinese civilization; first of the F	kingship, wisdom, magic, healing, fertility	N				
7521	Hun Hunahpu	father of the Hero Twins in the Popol Vuh; closely identified with the Maya Maiz	death-and-rebirth, maize, harvest	Y	Hunahpu	God K		
7523	Hun-Came	'One Death'; with Vucub-Came, one of the two highest lords of Xibalba, the K'ich	death, underworld	N				
7519	Hunahpu	one of the K'iche' Maya Hero Twins of the Popol Vuh; with his twin Xbalanque, co	underworld, magic, death-and-rebirth, war	N			Xbalanque	
7515	Huracan	the K'iche' Maya 'Heart of Sky'; storm-, wind-, and fire-god; a creator-deity, a	storm, wind, fire, creation	N			Q'uq'umatz	
7129	Huītzilōpōchtli	war, sun, sacrifice, hummingbirds, south, the Aztec state	war, sun, sacrifice, hummingbirds, south	N				
7440	Hydra	the Lernaean Hydra - many-headed water-serpent of the swamp of Lerna; slain by H	water, regeneration, monsters	N				
7342	Iblis	Islamic primary devil-figure; refuser of obeisance to Adam; ancestor of the shay	deception, temptation, chaos, evil, whispering	N				Shaitan
7355	Idun	youth, vitality, apples of immortality, springtime renewal - keeper of the apple	youth, vitality, immortality, renewal, fertility	N				
7208	Igigi	younger generation of gods. In Atrahasis, labouring gods who rebel against Enlil	heaven, rebellion, labor	N				
6136	Inanna	war, love, fertility, sky/heaven, kingship, divine sovereignty, storehouse, tran	war, love, fertility, kingship, underworld, transformation	N			Ishtar	
7512	Itzamna	supreme creator-god of the Yucatec Maya; god of the sky, of writing, learning, a	creation, sky, writing, learning, priesthood	N				
7479	Itzpapalotl	'Obsidian Butterfly' - terrifying skeletal-butterfly warrior-goddess; ruler of t	war, death, fertility, underworld, magic	N				
7518	Ix Chel	the Maya goddess of the moon, midwifery and childbirth, weaving, medicine, and w	moon, midwifery, childbirth, weaving, medicine, water	N				
7527	Ixtab	in the account of Diego de Landa, a Yucatec Maya goddess associated with the rop	death, hanging, afterlife	N				
7288	Janus	beginnings, transitions, gates and doorways, time, war and peace, first invocati	beginnings, transitions, gates, time, war, peace	N			Hermes	Janus Bifrons
6263	Jesus	salvation, resurrection, redemption, sacrifice, love, forgiveness, eternal life,	salvation, resurrection, forgiveness, love, prophecy, kingship	N				Yeshua|Isa|Iesus
7413	Jimmu	legendary first emperor of Japan; great-grandson of Ninigi; descendant of Amater	kingship, war, conquest	N				
7444	Jupiter	supreme god of the Roman state; sky, thunder, oaths of state; chief of the Capit	sky, thunder, oaths, kingship	N			Zeus	
7418	Jurojin	longevity, wisdom; one of the Seven Lucky Gods; identified with the Chinese Daoi	longevity, wisdom	Y				
7376	Kartikeya	war, divine general, youth, slayer of demon Taraka, son of Shiva, six-faced, the	war, youth, slaying, divinity, victory, hunting	N				Murugan|Skanda
7517	Kinich Ahau	the Maya sun-god; 'Sun-Faced Lord'; a day-sky deity, patron of rulers, sometimes	sun, kingship, day-sky, light	N			Itzamna	
7412	Kotoshironushi	'thing-knowing master'; son of Okuninushi who agreed to the kuni-yuzuri; oracula	fishing, prophecy, earth, harvest	N				
7505	Ksitigarbha	bodhisattva of the hell-beings and of vows; he who vowed not to attain Buddhahoo	underworld, children, travellers, vows	N				
7513	Kukulkan	the Feathered Serpent of the Yucatec Maya; god of wind, of the planet Venus, of 	wind, resurrection, civilisation, venus	Y				
7315	Lamashtu	attack on pregnant women and infants, miscarriage, infant death, malevolent dise	motherhood, infant-death, miscarriage, disease	N				
7499	Lan Caihe	one of the Eight Immortals; ambiguously-gendered, eccentric immortal; patron of 	gardening, music, floristry	N				
7483	Laozi	semi-legendary founder of philosophical Daoism; reputed author of the Daodejing;	philosophy, wisdom, daoism, spirituality	N			Daode Tianzun	Taishang Laojun
7350	Leviathan	cosmic sea-monster; primordial chaos-serpent; eschatological beast; Hebrew livya	chaos, sea, destruction, evil, apocalypse	Y	Lotan	Litan		
7452	Liber	wine, vines, fertility; plebeian counterpart of patrician Bacchus; one of the Av	wine, vines, fertility	N				
7494	Lu Dongbin	de facto leader of the Eight Immortals; a Tang-dynasty scholar who attained immo	wisdom, healing, magic, scholarship	N				
7509	Mahakala	great wrathful protector of Vajrayana Buddhism; a fierce emanation embodying the	protection, compassion, obstacle-removal, wrath, wisdom	N			Shiva	
7504	Maitreya	future Buddha; bodhisattva who will appear in the world to come, when the teachi	future, dharma, buddhism, enlightenment	N				
7259	Mannus	founder-figure of the Germanic peoples in Tacitus; son of the earth-born Tuisto;	ancestry, founding, tribal-identity	N				
7218	Mara	personification of death, temptation, and the delusive forces that bind beings t	death, temptation, samsara	N				
6134	Marduk	kingship of the gods, Babylon, justice, magic and incantation, planet Jupiter, a	kingship, justice, magic, agriculture, creation	N			Jupiter	
7287	Mary	motherhood of Jesus, Theotokos, virginity, intercession, the Magnificat, most pr	motherhood, virginity, intercession, devotion	N				Maryam
7347	Mastema	prince of evil spirits in the Book of Jubilees; accuser, tester; given charge of	evil spirits, testing, accusation	Y				
7491	Mazu	goddess of the sea; protector of sailors, fishermen, and seafarers; one of the m	sea, protection, fishing, navigation	N				Ma Zu|Matsu
7329	Melqart	kingship of Tyre, royal patronage, sea, navigation, colonization, dying-and-risi	kingship, sea, navigation, colonization, dying-and-rising	N			Baal|Hercules	
7231	Men	an Anatolian/Phrygian moon-god; a lunar deity governing the months, healing, and	moon, healing, tombs	N				
7501	Meng Po	Lady Meng / the Old Lady of Forgetfulness; underworld deity who administers the 	underworld, death-and-rebirth, forgetfulness	N				
7446	Mercury	commerce, trade, messengers, travel, eloquence, thieves; psychopomp; identified 	commerce, trade, messengers, travel, eloquence, thieves	Y				
7475	Metztli	'The Moon' - moon-deity; identified with Tecuciztecatl	moon, fertility, magic	Y				
7472	Mictlantecuhtli	'Lord of Mictlan' - lord of the underworld; one of the principal Aztec deities; 	underworld, death, fertility, magic	N			Hades|Osiris	
7443	Minotaur	the Minotaur of Crete - half-bull, half-man, monstrous offspring of Queen Pasiph	monsters, labyrinth, sacrifice	N				
7437	Moirai	three Fates - Clotho, Lachesis, Atropos; deities of human destiny who spin, meas	fate, destiny, weaving, death-and-rebirth	N				
7476	Nanahuatzin	'The Pustular One' - the diseased, humble god who threw himself into the cosmic 	fire, humility, self-sacrifice, cosmic, creation	N				
6838	Nehalennia	a Germanic goddess of the North Sea coast, protectress of seafarers and merchant	sea, trade, protection	N				
7400	Nephthys	mourning, dead, protection of the deceased; dark counterpart of Isis; sister-wif	mourning, death, protection, underworld	N			Isis	
7448	Neptune	sea, water, horses, earthquakes; identified with Poseidon; originally an Italic 	sea, water, horses, earthquakes	Y				
7306	Nergal	war, plague, fire, destructive aspect of the sun, kingship of the netherworld; a	war, plague, fire, underworld, kingship	N				Erra
6786	Nerthus	a continental Germanic goddess named by Tacitus; 'Terra Mater', Mother Earth, wo	fertility, earth, motherhood	N				
7210	Nibiru	A celestial designation in Mesopotamian astronomy: the 'crossing-place', associa	astronomy, kingship, magic	N			Marduk|Jupiter	
7321	Nikkal	moon, childbirth, fruit-bearing - Ugaritic *nkl*, cognate of Sumero-Akkadian Nin	moon, childbirth, fertility, harvest	Y				
7301	Ninhursag	mountain mother goddess, midwifery, wild fauna, womb-creator, foothills; often e	motherhood, midwifery, fertility, wildlife, mountains	Y				
7228	Norea	in the Sethian Gnostic texts, daughter of Adam and Eve; a redeemed and redeeming	redemption, gnostic revelation, resistance	N				
7482	Nuwa	creator-goddess; mother of humanity; repairer of the broken sky; one of the Thre	creation, motherhood, repair, weaving, magic	N				
7430	Oceanus	world-encircling river; great freshwater stream surrounding the disk of the eart	water, rivers, freshwater, ocean	N				
7467	Omecihuatl	'Two Lady' - the feminine aspect of the dual creator Ometeotl; wife-counterpart 	creation, fertility, motherhood, wisdom	N			Ometecuhtli	
7466	Ometecuhtli	'Two Lord' - the masculine aspect of the dual creator Ometeotl; husband-counterp	creation, fertility, duality, life, death-and-rebirth	N				
7465	Ometeotl	'Two God' / 'God of Duality' - the supreme creator-deity as the unified aspect o	creation, duality, fertility, wisdom, life	N				
7426	Ouranos	primordial sky, starry heaven; first cosmic ruler before being castrated by Cron	sky, cosmos, creation	N				
7464	Penates	guardian deities of the household pantry/storeroom; di Penates extend to the sta	household, provision, state-cult	N				
7449	Pluto	underworld; lord of the dead; identified with Hades	underworld, death, wealth	Y				
7420	Poseidon	sea, earthquakes, horses; one of the three sons of Cronus who divided the cosmos	sea, earthquakes, horses	N				
7514	Q'uq'umatz	the Feathered Serpent of the K'iche' Maya; one of the creator-deities of the Pop	creation, fertility, wisdom, magic	N			Quetzalcoatl	Tepeu
7453	Quirinus	indigenous Sabine deity of war; identified with the deified Romulus; one of the 	war	Y				
6484	Rangda	demon-queen of Balinese myth and ritual drama; terrible widow-witch, leader of t	chaos, witchcraft, death, destruction, magic	N				
7396	Ravana	ten-headed king of Lanka; chief rakshasa adversary of Rama; supreme devotee of S	kingship, magic, war, devotion, abduction	N				
7462	Remus	twin of Romulus; co-founder candidate of Rome; killed by Romulus in the famous w	founding, brotherhood, war	N				
7461	Romulus	founder of Rome; first king; deified as Quirinus after his disappearance/apotheo	kingship, war, founding, deification	N				
7230	Sabazios	a Phrygian sky- and father-god, a god of horsemen and of mystery-cult; identifie	sky, mystery-cult, horsemen	Y	Zeus|Dionysus			
7369	Saga	drinking-companion of Odin in the hall Sokkvabekkr; some scholars identify her w	wisdom, saga-telling	N			Frigg	
7346	Samael	rabbinic angel of death and venom; angel-rider of the serpent of Eden; in Kabbal	death, serpents, demonology	Y	Lilith			
7508	Samantabhadra	bodhisattva of practice, meditation, and the vow put into action; in the Avatams	meditation, bodhisattva, wisdom, practice, vow	N				
7349	Sandalphon	archangel of song and prayer; weaver of crowns from the prayers of Israel; in so	song, prayer, crowns, angels	Y	Metatron	Elijah		
6775	Shakti	divine feminine power, cosmic energy, creative power, transformative power, fema	power, creation, transformation, feminine, energy	N			Durga|Parvati|Kali	
7323	Shalim	dusk, evening twilight - paired twin with Shahar; toponymic root of Jerusalem an	dusk, twilight, kingship	N			Shahar	
7200	Shapash	sun, illumination, divine messenger between heaven and the underworld, justice -	sun, illumination, justice, messenger, underworld	N				Shamash
7348	Shekhinah	divine presence; indwelling presence of God in the Tabernacle, the Temple, with 	divine presence, wisdom, femininity, marriage	N				
6759	Shiva	destruction, asceticism, yoga, dance, cremation grounds, death, phallic emblem, 	destruction, asceticism, yoga, dance, healing, death	N				Shankar|Mahadeva|Rudra
7490	Shun	one of the great sage-kings; raised from commoner status to the throne by Yao on	kingship, virtue, filial piety	N				
7211	Shuqamuna and Shumaliya	Kassite royal cult, divine protection of kings, bird-cult, warrior protection, d	kingship, war, protection, bird-cult	N				
7503	Siddhartha Gautama	historical Buddha; Shakyamuni; founder of Buddhism, who attained complete awaken	wisdom, teaching, meditation, enlightenment, suffering, compassion	N				Shakyamuni
7456	Silvanus	forests, fields, woodland boundaries; rural protective deity; never officially i	forests, fields, rural-protection	N				
7454	Sol	sun; identified with Helios; reintroduced as Sol Invictus by Aurelian in 274 CE 	sun, light, time, harvest	Y				
6736	Sophia	in the Gnostic systems, 'Wisdom'; youngest of the aeons of the Pleroma, whose un	wisdom, creation, redemption	N				
7363	Surt	fire-giant of Muspelheim, eschatological burner of the world, wielder of the fla	fire, destruction, chaos, war	N				Surtr
7411	Takemikazuchi	thunder, swords, martial valor, subjugation of the land; one of the central warr	thunder, war, swords, martial-valor, land-subjugation	N				
6740	Tara	bodhisattva-goddess of compassion and swift help; 'the Saviouress'; especially c	compassion, help, wisdom	N				
7427	Tartarus	deepest abyss of the cosmos, beneath Hades; prison of the Titans after the Titan	underworld, prison, abyss	N				
7477	Tecuciztecatl	'He of the Conch Shell' - the proud, wealthy god who hesitated at Teotihuacan an	moon, wealth, caution	N				
7225	The Monad	in the Gnostic systems, supreme, utterly transcendent, unknowable Godhead; the O	creation, spirituality, transcendence, wisdom, unity	N				the One|Pleroma
7469	Tlaloc	rain, thunder, lightning, fertility of the earth; second in cult-importance only	rain, thunder, lightning, fertility, earth	N				
7468	Tonacacihuatl	'Lady of Sustenance' - the feminine aspect of the supreme creator-duality, paire	sustenance, fertility, harvest, motherhood	N			Tonacatecuhtli	
7481	Tonantzin	'Our Revered Mother' - collective title-aspect of the mother-goddess complex; fa	motherhood, fertility, harvest, magic	N				Guadalupe
7474	Tonatiuh	'He Goes Forth Shining' - the sun, specifically the fifth sun of the present age	sun, war, sacrifice	N			Huitzilopochtli	
6752	Tuisto	earth-born primordial god of the continental Germanic peoples, named by Tacitus 	earth, creation	N				
7436	Tyche	fortune, luck, chance - both good and bad; personification of how things 'fall o	fortune, luck, chance	N			Fortuna	
7438	Typhon	monstrous storm-serpent; last child of Gaia and Tartarus; gravest threat ever fa	monsters, chaos, storm, destruction	N				
7319	Utnapishtim	flood-survival, immortality granted, far-distant land of Dilmun-equivalent, witn	flood-survival, immortality, wisdom	N				Ziusudra
7304	Utu	sun, justice, oath, illumination of hidden truths, rising-up over Mount Mashu, j	sun, justice, oath, underworld, illumination	N				Shamash
7506	Vairocana	cosmic Buddha; 'Illuminator'; in many Mahayana and all Vajrayana systems the cen	wisdom, enlightenment, cosmic, spirituality	N			Amitabha	Vairocana Buddha
7510	Vaisravana	chief of the Four Heavenly Kings; guardian of the north; god of wealth; protecto	wealth, guardianship, dharma, protection	N				Kubera
7222	Vajrapani	bodhisattva of the Buddha's power and protective energy; wielder of the vajra; o	protection, power, energy	N				
7457	Vertumnus	seasonal changes, harvest, garden-fruit-ripening; metamorphosis; Etruscan god im	seasonal-changes, harvest, fruit-ripening, metamorphosis	N				
7522	Vucub Caquix	'Seven Macaw' of the Popol Vuh; a vain bird-monster who in the time before the t	vanity, light, deception, cosmic order	N				
7524	Vucub-Came	'Seven Death'; with Hun-Came, one of the two highest lords of Xibalba, the K'ich	underworld, death, magic	N			Hun-Came	
7447	Vulcan	fire, forge, metalworking; identified with Hephaestus; god of the Comitium and t	fire, forge, metalworking, smithing	Y				
7520	Xbalanque	one of the K'iche' Maya Hero Twins of the Popol Vuh; with his twin Hunahpu, conq	underworld, magic, death-and-rebirth, war, fertility	N			Hunahpu	
7484	Xiwangmu	the Queen Mother of the West; goddess of immortality, life, and the western para	immortality, life, paradise, fertility, magic	N				Kuan Yin
7338	YHWH	covenant deity of Israel, creator of heaven and earth, holy, jealous, just, merc	covenant, creation, justice, mercy, holiness	N			El	Yahweh
7256	Yaldabaoth	demiurge of the Gnostic systems; ignorant, arrogant lower power - malformed offs	creation, ignorance, material cosmos, deception	N			Samael	Saklas
7223	Yama	lord of death and judge of the dead in Buddhist cosmology; ruler of the hell-rea	death, judgment, underworld	N				
7486	Yandi	the Yan Emperor; one of the early sage-rulers; often identified with Shennong; d	kingship, agriculture, healing, wisdom	Y				
7489	Yao	one of the great sage-kings; model of the virtuous ruler; famous for abdicating 	kingship, virtue, wisdom	N				
7360	Ymir	primordial giant, first being from the chaos-gap, cosmos-body - from whose disme	creation, chaos, giants, earth, cosmos	N				
7488	Yu the Great	legendary controller of the Great Flood; founder of the Xia dynasty; last of the	flood, kingship, agriculture	N				
7526	Yum Kaax	the Yucatec Maya god of the wild vegetation, forest, and especially of maize as 	vegetation, forest, maize, agriculture, youth	N				
7492	Zao Jun	the Kitchen God / Stove God; household deity who watches over the family from hi	household, fire, domesticity	N				
7495	Zhongli Quan	one of the Eight Immortals, often regarded as the eldest and most senior; immort	immortality, alchemy, healing, magic	N				
