id	name	tradition	old_domain	new_domain	new_edges_ids	new_edges_names	new_identifications	skipped
7205	Anunnaki	Mesopotamian	collective of major Mesopotamian gods. In Sumerian usage often the gods of the upper world; in later Akkadian usage often the netherworld gods.	gods, underworld, kingship, magic, fertility	7297|6134	Enlil|Marduk	Ea	
7402	Apep	Egyptian	cosmic serpent of chaos; eternal adversary of Ra; embodiment of isfet opposing Ma'at; attacked the solar barque every night and was repulsed; never destroyed, eternally renewing	chaos, night, renewal				
7311	Asalluhi	Mesopotamian	incantation, magic, healing-via-spell, intercessor between Enki and the suffering; later identified with Marduk	magic, healing, intercession				
7343	Asmodeus	Abrahamic	demon of lust and marriage-disrupting; in Tobit kills Sarah's seven husbands; in rabbinic tradition the king of demons; etymologically from Persian/Avestan Aeshma-daeva	lust, marriage				
6760	Astarte	Canaanite	love, war, royalty, morning and evening star, kingship-conferring, fertility - closely paralleled with Mesopotamian Ishtar and Sumerian Inanna	love, war, royalty, fertility, kingship	6111|6136	Ishtar|Inanna		
7204	Attar	Canaanite	Venus, aborted kingship, irrigation, dawning, masculine counterpart of Astarte	love, kingship, irrigation	6760	Astarte		
6781	Attis	Phrygian	youthful consort of the Phrygian Mother Cybele; a vegetation-figure whose self-castration, death, and the cult's mourning and renewal stood at the centre of the Phrygian and Roman Mother-cult	vegetation, death-and-rebirth, fertility, motherhood	6753|6745	Adonis|Osiris		Attis
7219	Avalokiteshvara	Buddhist	bodhisattva of compassion; he who hears the cries of the world; one of the most important bodhisattvas of Mahayana Buddhism	compassion, wisdom, healing	7493	Guanyin	Kannon	
7345	Azazel	Abrahamic	in Leviticus 16, wilderness-recipient of the Yom Kippur scapegoat; in 1 Enoch, chief of the Watchers - the fallen angels who taught humanity forbidden arts; prototype of the corrupting fallen angel	scapegoat, fallen angels, forbidden arts, corruption				Azazel
7331	Baal-Hammon	Canaanite	chief god of Carthage and the Punic west, kingship, sun, divine consort of Tanit; identified by Greeks and Romans with Cronos/Saturn	kingship, sun, fertility, harvest, magic	7450	Saturn	Cronos	
7451	Bacchus	Roman	wine, ecstatic religion, the Bacchic mysteries; identified with Dionysus and Liber; banned by the Senate in 186 BCE before being re-incorporated under Augustus	wine, ecstasy, fertility, celebration, theater				
7226	Barbelo	Gnostic	in the Sethian Gnostic systems, first emanation of the unknowable Monad; supreme feminine principle, 'first thought' of the Godhead, womb and mother of the Pleroma	wisdom, motherhood, creation, feminine-principle	6736	Sophia		
7213	Barong	Balinese	protective beast-spirit of Balinese myth and ritual drama; benevolent 'king of the spirits', leader of the forces of order and protection, eternal opponent of the demon-queen Rangda	protection, order, spirituality, ritual, myth				
7344	Beelzebub	Abrahamic	prince of demons in the New Testament; Hebrew Bible: the Philistine god of Ekron; in later Christian demonology, one of the chief princes of hell	demons, death, chaos, darkness, temptation			Beelzebul|Baal-Zebub	
7351	Behemoth	Abrahamic	cosmic land-monster; primordial chaos-beast; Hebrew behemot; paired with Leviathan as the great primordial creatures of land and sea	chaos, land, sea	7350	Leviathan		
7507	Bhaisajyaguru	Buddhist	the Medicine Buddha; 'Master of Healing'; celestial Buddha who presides over the eastern pure land of Vaiduryanirbhasa and heals the sicknesses of body and mind	healing				Bhaisajyaguru
7416	Bishamonten	Shinto	war, warriors, dignity, protection of Buddhist law; one of the Seven Lucky Gods; one of the Four Heavenly Kings of Buddhism; the Japanese form of the Buddhist Vaishravana / Kubera	war, protection, wealth, dignity			vaishravana|kubera	
6994	Britannia	Roman	Britain, the Roman province, conquest, northern frontier	war, conquest, frontier	6528|6578	Victoria|Minerva		
7498	Cao Guojiu	Chinese	one of the Eight Immortals; most recently-added and the patron of actors and theater; traditionally a brother of a Song-dynasty empress, hence the title Guojiu	theater, acting				
7480	Centeotl	Aztec	'Maize Ear' - god of young maize; central agricultural deity; sometimes paired or merged with Chicomecoatl and Xilonen	maize, agriculture, harvest	6629	Chicomecoatl	xilonen	
7441	Cerberus	Greek	three-headed dog of Hades; guards the gates of the underworld so that the dead cannot leave and the living cannot enter without divine permission	underworld, death, guardianship				
7516	Chaac	Maya	the Maya rain-god; god of thunder, lightning, storms, and agricultural fertility; one of the most enduringly worshipped of all Maya deities	rain, thunder, lightning, storms, fertility				
7470	Chalchiuhtlicue	Aztec	'She of the Jade Skirt' - goddess of lakes, rivers, springs, fresh water; sister-wife of Tlaloc; patroness of childbirth and the baptismal ritual	water, childbirth, baptism				
7487	Chang'e	Chinese	goddess of the moon; wife of the archer Hou Yi; she who consumed the elixir of immortality and floated to the moon, where she dwells; central figure of the Mid-Autumn Festival	moon, immortality, harvest				
7425	Chaos	Greek	primordial Yawning-Void from which everything else came; first of all things; not 'disorder' in the modern sense but 'gap' or 'chasm'	chaos, creation, void				
7442	Chimera	Greek	fire-breathing composite monster: lion-fore, goat-middle, serpent-tail; slain by Bellerophon riding Pegasus	fire, monsters, war				
7471	Coyolxauhqui	Aztec	'She of the Golden Bells' - moon-goddess; sister of Huitzilopochtli and the 400 Centzon Huitznahua; dismembered moon whose monolith was placed at the foot of the Templo Mayor	moon, war, death-and-rebirth				
7458	Cupid	Roman	love, desire; identified with Greek Eros; son of Venus; central male figure of Apuleius's Cupid and Psyche; in late-classical and Roman iconography increasingly the chubby winged infant	love, desire, marriage				
6689	Cybele	Phrygian	the Phrygian Great Mother; goddess of the mountains, of wild nature and its animals, of fortresses and of the fertility of the earth; 'Mother of the Gods'	fertility, nature, mountains, wildlife, motherhood	6780	Rhea	Magna Mater	Cybele
7414	Daikokuten	Shinto	wealth, harvest, kitchen; one of the Seven Lucky Gods; syncretic - combines the Hindu-Buddhist Mahakala with the Shinto Okuninushi	wealth, harvest, kitchen, smithing				
7500	Dizang	Chinese	bodhisattva of the underworld and of vows; the Chinese form of Kshitigarbha; he who vowed not to attain Buddhahood until all the hells are emptied; great savior of beings in the underworld	underworld, vows, savior			Kshitigarbha	
7502	Doumu	Chinese	the Mother of the Great Dipper; goddess of the North Star and the seven stars of the Dipper; a Daoist astral deity of high rank, mother of the Dipper-star gods	motherhood, astral, magic	7484	Xiwangmu	Tianhou	
7312	Dumuzi	Mesopotamian	shepherding, fertility, dying-and-returning consort of Inanna, spring-summer vegetation cycle, mourning rites	shepherding, fertility, death-and-rebirth, vegetation, mourning	6784	Tammuz		Dumuzi
7415	Ebisu	Shinto	fishing, merchants, prosperity, sea-borne luck; one of the Seven Lucky Gods; often identified with Kotoshironushi or with the unwanted firstborn Hiruko	fishing, merchants, prosperity, luck, sea-trade				
7195	El	Canaanite	creation, fatherhood, kingship of the divine council, ageless wisdom, decree-giving, source of the Two Rivers, mountain Lel	creation, fatherhood, wisdom, kingship, decree-giving, mountain	7196	Baal	Yahweh	El
7318	Enkidu	Mesopotamian	wild-man companion of Gilgamesh, civilizational transformation via Shamhat, hunter, foil to royal power	hunting, civilization, friendship, wildness				
7297	Enlil	Mesopotamian	wind, storm, executive sovereignty of the gods, calendar, kingship-conferral, the Tablet of Destinies	wind, storm, kingship, calendar, executive sovereignty	7308	Adad	Ishkur	
7428	Erebus	Greek	primordial darkness; dark space between earth and Hades through which the dead pass; son of Chaos, mate of Nyx	darkness, underworld, death				
7455	Faunus	Roman	wild-places, forests, herds; rustic god of the agricultural population; identified later with Greek Pan; central to the Lupercalia	wild-places, forests, herds, agriculture, fertility	7263	Pan		
6180	Ferentina	Roman	springs, the Latin League, political assembly	springs, politics				
7353	Frigg	Norse	queen of the Aesir, marriage, motherhood, foreknowledge, household, divine matron - wife of Odin and mother of Baldr	marriage, motherhood, foreknowledge, household			Frigga	
7419	Fukurokuju	Shinto	happiness, wealth, longevity; one of the Seven Lucky Gods; Daoist origin - combining Three Stars of Fortune into a single deity	happiness, wealth, longevity	6493|7495	Caishen|Zhongli Quan		
7367	Gefjun	Norse	agricultural plowing, virgin maidenhood, receipt-of-the-unmarried-dead, goddess who plowed Zealand free from Sweden	agriculture, virginity, death, fertility				
7313	Geshtinanna	Mesopotamian	vine, dream-interpretation, scribal arts of the netherworld, sisterly devotion, alternating netherworld-substitute	vine, dream-interpretation, underworld, sisterly devotion, scribal arts				
7317	Gilgamesh	Mesopotamian	kingship of Uruk, heroic exploit, quest for immortality, builder of the walls of Uruk; later, judge of the netherworld	kingship, heroism, immortality, underworld	7318|7319	Enkidu|Utnapishtim		
7340	God-the-Father	Abrahamic	first person of the Christian Trinity, identified with YHWH of the Hebrew Bible, Father of Jesus Christ "in a unique sense" and Father of all believers by adoption	creation, fatherhood, wisdom, justice, love	7195	El	God	
7493	Guanyin	Chinese	goddess of compassion and mercy; the Chinese form of the bodhisattva Avalokiteshvara; hearer of the cries of the world; one of the most beloved and universally-worshipped figures in Chinese religion	compassion, mercy, healing				
7421	Hades	Greek	underworld realm and its god; lord of the dead; chthonic counterpart of Olympian Zeus; in late tradition also Plouton, lord of mineral wealth beneath the earth; 'the unseen one'	underworld, death, wealth, mineral, chthonic				Hades
7497	Han Xiangzi	Chinese	one of the Eight Immortals; patron of musicians; immortal of the flute; traditionally a nephew of the great Tang poet-statesman Han Yu	music, immortality, flute				
7511	Hariti	Buddhist	protector-goddess of children, childbirth, and parents; a reformed child-devouring yakshini converted by the Buddha	children, childbirth, motherhood				
7496	He Xiangu	Chinese	only female of the Eight Immortals; a Tang-dynasty woman who attained immortality through dietary cultivation; patroness of unmarried women and household management	immortality, household-management, unmarried-women, dietary-cultivation				
6754	Hecate	Greek	magic, witchcraft, crossroads, ghosts, moon, necromancy, entrance ways, child-rearing, victory in contests, herdsmen and fishermen	magic, witchcraft, necromancy, moon, crossroads, child-rearing			Trivia|Hecat|Hekate	Hecate
7459	Hercules	Roman	great hero of strength; identified with Greek Heracles; cult of Hercules Invictus at the Ara Maxima Herculis Invicti in the Forum Boarium	strength, war, heroism				
7423	Hestia	Greek	hearth, home, sacred fire of the household and the polis; one of the three virgin goddesses; first child of Cronus and Rhea	hearth, home, fire				
7397	Hiranyakashipu	Hindu	demon kingship, tyranny, hostility to gods, self-deification, persecution of devotion, boon-granted invulnerability	kingship, tyranny, devotion, invulnerability				
7341	Holy Spirit	Abrahamic	third person of the Christian Trinity; breath/wind of God; presence of God; sanctifier; gift-giver; comforter; indwelling presence in believers	spirituality, guidance, comfort, sanctification, wisdom, presence				
7417	Hotei	Shinto	happiness, contentment, abundance; one of the Seven Lucky Gods; based on the historical Chinese Chan Buddhist monk Budai; identified as the future Buddha Maitreya	happiness, abundance, contentment	6456|7504	Budai|Maitreya		
7485	Huangdi	Chinese	the Yellow Emperor; central culture-hero of Chinese civilization; first of the Five Emperors; legendary ancestor of the Han Chinese; patron of the Huang-Lao Daoist tradition	kingship, wisdom, magic, healing, fertility				
7521	Hun Hunahpu	Maya	father of the Hero Twins in the Popol Vuh; closely identified with the Maya Maize God; killed in Xibalba and ultimately resurrected - the mythic charter of the death and rebirth of the maize	death-and-rebirth, maize, harvest	7519	Hunahpu	God K	
7523	Hun-Came	Maya	'One Death'; with Vucub-Came, one of the two highest lords of Xibalba, the K'iche' Maya underworld; defeated by the Hero Twins	death, underworld				
7519	Hunahpu	Maya	one of the K'iche' Maya Hero Twins of the Popol Vuh; with his twin Xbalanque, conqueror of the lords of the underworld; finally raised to become the sun	underworld, magic, death-and-rebirth, war	7520	Xbalanque		
7515	Huracan	Maya	the K'iche' Maya 'Heart of Sky'; storm-, wind-, and fire-god; a creator-deity, a trinity-in-one who with Q'uq'umatz brings the world into being	storm, wind, fire, creation	7514	Q'uq'umatz		
7129	Huītzilōpōchtli	Aztec	war, sun, sacrifice, hummingbirds, south, the Aztec state	war, sun, sacrifice, hummingbirds, south				
7440	Hydra	Greek	the Lernaean Hydra - many-headed water-serpent of the swamp of Lerna; slain by Heracles as his second labor; head-regenerating	water, regeneration, monsters				
7342	Iblis	Abrahamic	Islamic primary devil-figure; refuser of obeisance to Adam; ancestor of the shayatin; whisperer; accursed	deception, temptation, chaos, evil, whispering			Shaitan	
7355	Idun	Norse	youth, vitality, apples of immortality, springtime renewal - keeper of the apples that the gods eat to remain young	youth, vitality, immortality, renewal, fertility				
7208	Igigi	Mesopotamian	younger generation of gods. In Atrahasis, labouring gods who rebel against Enlil before humans are created to take their place. In later Akkadian usage, often the gods of heaven.	heaven, rebellion, labor				
6136	Inanna	Mesopotamian	war, love, fertility, sky/heaven, kingship, divine sovereignty, storehouse, transformation, the Venus star, underworld passage	war, love, fertility, kingship, underworld, transformation	6111	Ishtar		
7512	Itzamna	Maya	supreme creator-god of the Yucatec Maya; god of the sky, of writing, learning, and the priestly arts; lord of day and night	creation, sky, writing, learning, priesthood				
7479	Itzpapalotl	Aztec	'Obsidian Butterfly' - terrifying skeletal-butterfly warrior-goddess; ruler of the Tzitzimimeh; patroness of women who died in childbirth; ruler of Tamoanchan in some traditions	war, death, fertility, underworld, magic				
7518	Ix Chel	Maya	the Maya goddess of the moon, midwifery and childbirth, weaving, medicine, and water; consort of Itzamna	moon, midwifery, childbirth, weaving, medicine, water				Ix Chel
7527	Ixtab	Maya	in the account of Diego de Landa, a Yucatec Maya goddess associated with the rope and with those who died by hanging, who were thought to go to a paradisiacal rest	death, hanging, afterlife				
7288	Janus	Roman	beginnings, transitions, gates and doorways, time, war and peace, first invocation in prayer, new year	beginnings, transitions, gates, time, war, peace	6117	Hermes	Janus Bifrons	
6263	Jesus	Abrahamic	salvation, resurrection, redemption, sacrifice, love, forgiveness, eternal life, prophecy, messianic kingship	salvation, resurrection, forgiveness, love, prophecy, kingship			Yeshua|Isa|Iesus	
7413	Jimmu	Shinto	legendary first emperor of Japan; great-grandson of Ninigi; descendant of Amaterasu; conqueror of Yamato; conventional founding date 660 BCE	kingship, war, conquest				
7444	Jupiter	Roman	supreme god of the Roman state; sky, thunder, oaths of state; chief of the Capitoline Triad; 'Iuppiter Optimus Maximus'; descendant of PIE *Dyews ph₂ter	sky, thunder, oaths, kingship	6175	Zeus		
7418	Jurojin	Shinto	longevity, wisdom; one of the Seven Lucky Gods; identified with the Chinese Daoist immortal Shou-lao; often paired with or merged with Fukurokuju	longevity, wisdom				
7376	Kartikeya	Hindu	war, divine general, youth, slayer of demon Taraka, son of Shiva, six-faced, the Tamil god Murugan, Skanda, peacock-rider, spear-wielder	war, youth, slaying, divinity, victory, hunting			Murugan|Skanda	
7517	Kinich Ahau	Maya	the Maya sun-god; 'Sun-Faced Lord'; a day-sky deity, patron of rulers, sometimes regarded as an aspect of Itzamna	sun, kingship, day-sky, light	7512	Itzamna		
7412	Kotoshironushi	Shinto	'thing-knowing master'; son of Okuninushi who agreed to the kuni-yuzuri; oracular kami; fishing; one of the central earthly-kami of the Izumo cycle	fishing, prophecy, earth, harvest				
7505	Ksitigarbha	Buddhist	bodhisattva of the hell-beings and of vows; he who vowed not to attain Buddhahood until all the hells are emptied; protector of children and travellers	underworld, children, travellers, vows				
7513	Kukulkan	Maya	the Feathered Serpent of the Yucatec Maya; god of wind, of the planet Venus, of resurrection and of civilisation; the Maya counterpart of the Aztec Quetzalcoatl	wind, resurrection, civilisation, venus				
7315	Lamashtu	Mesopotamian	attack on pregnant women and infants, miscarriage, infant death, malevolent disease, demoness daughter of Anu	motherhood, infant-death, miscarriage, disease				
7499	Lan Caihe	Chinese	one of the Eight Immortals; ambiguously-gendered, eccentric immortal; patron of florists and gardeners; wandering minstrel of the group	gardening, music, floristry				
7483	Laozi	Chinese	semi-legendary founder of philosophical Daoism; reputed author of the Daodejing; deified as Taishang Laojun and as the Three-Pure-Ones figure Daode Tianzun	philosophy, wisdom, daoism, spirituality	6541	Daode Tianzun	Taishang Laojun	
7350	Leviathan	Abrahamic	cosmic sea-monster; primordial chaos-serpent; eschatological beast; Hebrew livyatan, cognate of the Ugaritic Lotan/Litan	chaos, sea, destruction, evil, apocalypse	7327	Lotan	Litan	
7452	Liber	Roman	wine, vines, fertility; plebeian counterpart of patrician Bacchus; one of the Aventine Triad; his festival the Liberalia	wine, vines, fertility				
7494	Lu Dongbin	Chinese	de facto leader of the Eight Immortals; a Tang-dynasty scholar who attained immortality; patron of scholars, barbers, and the sick; a central figure of the Quanzhen Daoist tradition	wisdom, healing, magic, scholarship				
7509	Mahakala	Buddhist	great wrathful protector of Vajrayana Buddhism; a fierce emanation embodying the protective, obstacle-removing power of compassion; the Buddhist transformation of the Hindu Shiva-Mahakala	protection, compassion, obstacle-removal, wrath, wisdom	6759	Shiva		Mahakala
7504	Maitreya	Buddhist	future Buddha; bodhisattva who will appear in the world to come, when the teaching of the present Buddha has been forgotten, to re-establish the Dharma	future, dharma, buddhism, enlightenment				
7259	Mannus	Germanic	founder-figure of the Germanic peoples in Tacitus; son of the earth-born Tuisto; ancestor of the great Germanic groupings	ancestry, founding, tribal-identity				
7218	Mara	Buddhist	personification of death, temptation, and the delusive forces that bind beings to samsara; great adversary of the Buddha's awakening	death, temptation, samsara				
6134	Marduk	Mesopotamian	kingship of the gods, Babylon, justice, magic and incantation, planet Jupiter, agriculture, creation and cosmogony	kingship, justice, magic, agriculture, creation	7444	Jupiter		Marduk
7287	Mary	Abrahamic	motherhood of Jesus, Theotokos, virginity, intercession, the Magnificat, most prominent woman in Christian devotion; in Islam, only woman named in the Quran and one of its most honored figures	motherhood, virginity, intercession, devotion			Maryam	
7347	Mastema	Abrahamic	prince of evil spirits in the Book of Jubilees; accuser, tester; given charge of one-tenth of the evil spirits to do God's work of testing humanity; sometimes identified with Satan	evil spirits, testing, accusation				
7491	Mazu	Chinese	goddess of the sea; protector of sailors, fishermen, and seafarers; one of the most widely worshipped deities in coastal China, Taiwan, and the Chinese diaspora; deified from the historical woman Lin Moniang	sea, protection, fishing, navigation			Ma Zu|Matsu	
7329	Melqart	Canaanite	kingship of Tyre, royal patronage, sea, navigation, colonization, dying-and-rising - the name *mlk-qrt* means "King of the City"	kingship, sea, navigation, colonization, dying-and-rising	7196|7459	Baal|Hercules		Melqart
7231	Men	Phrygian	an Anatolian/Phrygian moon-god; a lunar deity governing the months, healing, and the protection of tombs; worshipped widely in inland Anatolia	moon, healing, tombs				Men
7501	Meng Po	Chinese	Lady Meng / the Old Lady of Forgetfulness; underworld deity who administers the broth of oblivion to souls before reincarnation, so that they forget their past lives	underworld, death-and-rebirth, forgetfulness				
7446	Mercury	Roman	commerce, trade, messengers, travel, eloquence, thieves; psychopomp; identified with Hermes; god of merchants	commerce, trade, messengers, travel, eloquence, thieves				
7475	Metztli	Aztec	'The Moon' - moon-deity; identified with Tecuciztecatl	moon, fertility, magic				
7472	Mictlantecuhtli	Aztec	'Lord of Mictlan' - lord of the underworld; one of the principal Aztec deities; ruler of the ninth and lowest underworld; co-ruler with Mictlancihuatl	underworld, death, fertility, magic	7421|6745	Hades|Osiris		
7443	Minotaur	Greek	the Minotaur of Crete - half-bull, half-man, monstrous offspring of Queen Pasiphae and the Cretan bull; confined in the Labyrinth built by Daedalus; slain by Theseus	monsters, labyrinth, sacrifice				
7437	Moirai	Greek	three Fates - Clotho, Lachesis, Atropos; deities of human destiny who spin, measure, and cut the thread of each life	fate, destiny, weaving, death-and-rebirth				
7476	Nanahuatzin	Aztec	'The Pustular One' - the diseased, humble god who threw himself into the cosmic fire at Teotihuacan to become the fifth sun Tonatiuh; central Aztec narrative of self-sacrificial humility-rewarded	fire, humility, self-sacrifice, cosmic, creation				
6838	Nehalennia	Germanic	a Germanic goddess of the North Sea coast, protectress of seafarers and merchants, attested by a large number of votive altars at the mouth of the Rhine/Scheldt	sea, trade, protection				
7400	Nephthys	Egyptian	mourning, dead, protection of the deceased; dark counterpart of Isis; sister-wife of Set; one of the four canopic-jar protectresses	mourning, death, protection, underworld	6261	Isis		
7448	Neptune	Roman	sea, water, horses, earthquakes; identified with Poseidon; originally an Italic freshwater-and-spring deity before the Greek identification	sea, water, horses, earthquakes				
7306	Nergal	Mesopotamian	war, plague, fire, destructive aspect of the sun, kingship of the netherworld; also called Erra in his rampage-aspect	war, plague, fire, underworld, kingship			Erra	
6786	Nerthus	Germanic	a continental Germanic goddess named by Tacitus; 'Terra Mater', Mother Earth, worshipped by a group of Germanic tribes with a sacred processional cart	fertility, earth, motherhood				
7210	Nibiru	Mesopotamian	A celestial designation in Mesopotamian astronomy: the 'crossing-place', associated with Marduk in his astral aspect; planet Jupiter in some contexts.	astronomy, kingship, magic	6134|7444	Marduk|Jupiter		
7321	Nikkal	Canaanite	moon, childbirth, fruit-bearing - Ugaritic *nkl*, cognate of Sumero-Akkadian Ningal	moon, childbirth, fertility, harvest				
7301	Ninhursag	Mesopotamian	mountain mother goddess, midwifery, wild fauna, womb-creator, foothills; often equated with Ki, Mami, Aruru, Belet-ili, Nintur	motherhood, midwifery, fertility, wildlife, mountains				
7228	Norea	Gnostic	in the Sethian Gnostic texts, daughter of Adam and Eve; a redeemed and redeeming figure who resists the archons and is delivered from them; a bearer of the Gnostic revelation	redemption, gnostic revelation, resistance				
7482	Nuwa	Chinese	creator-goddess; mother of humanity; repairer of the broken sky; one of the Three Sovereigns; sister-wife of Fuxi	creation, motherhood, repair, weaving, magic				
7430	Oceanus	Greek	world-encircling river; great freshwater stream surrounding the disk of the earth; eldest of the Titans; father of all rivers and Oceanids	water, rivers, freshwater, ocean				
7467	Omecihuatl	Aztec	'Two Lady' - the feminine aspect of the dual creator Ometeotl; wife-counterpart of Ometecuhtli; dwells in Omeyocan	creation, fertility, motherhood, wisdom	7466	Ometecuhtli		
7466	Ometecuhtli	Aztec	'Two Lord' - the masculine aspect of the dual creator Ometeotl; husband-counterpart of Omecihuatl; dwells in Omeyocan	creation, fertility, duality, life, death-and-rebirth				
7465	Ometeotl	Aztec	'Two God' / 'God of Duality' - the supreme creator-deity as the unified aspect of the male-female duality Ometecuhtli + Omecihuatl; dwells in the thirteenth heaven Omeyocan; primordial principle from which all other gods emanate	creation, duality, fertility, wisdom, life				
7426	Ouranos	Greek	primordial sky, starry heaven; first cosmic ruler before being castrated by Cronus; mate of Gaia and father of Titans, Cyclopes, Hekatonkheires	sky, cosmos, creation				
7464	Penates	Roman	guardian deities of the household pantry/storeroom; di Penates extend to the state-cult; Aeneas brought the Trojan Penates to Italy	household, provision, state-cult				
7449	Pluto	Roman	underworld; lord of the dead; identified with Hades	underworld, death, wealth				
7420	Poseidon	Greek	sea, earthquakes, horses; one of the three sons of Cronus who divided the cosmos; 'Earth-shaker'; creator of horses	sea, earthquakes, horses				
7514	Q'uq'umatz	Maya	the Feathered Serpent of the K'iche' Maya; one of the creator-deities of the Popol Vuh, who together with Tepeu/the Heart of Sky calls the world into being	creation, fertility, wisdom, magic	6156	Quetzalcoatl	Tepeu	
7453	Quirinus	Roman	indigenous Sabine deity of war; identified with the deified Romulus; one of the Archaic Triad with Jupiter and Mars	war				
6484	Rangda	Balinese	demon-queen of Balinese myth and ritual drama; terrible widow-witch, leader of the leyak; embodiment of destructive, chaotic force, eternally opposed to Barong	chaos, witchcraft, death, destruction, magic				
7396	Ravana	Hindu	ten-headed king of Lanka; chief rakshasa adversary of Rama; supreme devotee of Shiva; abductor of Sita; in some traditions a learned brahmin, in others the supreme demon	kingship, magic, war, devotion, abduction				
7462	Remus	Roman	twin of Romulus; co-founder candidate of Rome; killed by Romulus in the famous walls/auspices quarrel	founding, brotherhood, war				
7461	Romulus	Roman	founder of Rome; first king; deified as Quirinus after his disappearance/apotheosis; son of Mars and Rhea Silvia	kingship, war, founding, deification				
7230	Sabazios	Phrygian	a Phrygian sky- and father-god, a god of horsemen and of mystery-cult; identified by the Greeks and Romans variously with Zeus and with Dionysus	sky, mystery-cult, horsemen	6175|6140	Zeus|Dionysus		
7369	Saga	Norse	drinking-companion of Odin in the hall Sokkvabekkr; some scholars identify her with Frigg as an alternate aspect; possibly history/saga-telling personified	wisdom, saga-telling	7353	Frigg		
7346	Samael	Abrahamic	rabbinic angel of death and venom; angel-rider of the serpent of Eden; in Kabbalah, consort of Lilith and the demonic counterpart of YHWH; in some traditions identified with Satan	death, serpents, demonology	6767	Lilith		
7508	Samantabhadra	Buddhist	bodhisattva of practice, meditation, and the vow put into action; in the Avatamsaka Sutra the embodiment of the bodhisattva path itself; in Nyingma Vajrayana, Samantabhadra is also the primordial Buddha	meditation, bodhisattva, wisdom, practice, vow				Samantabhadra
7349	Sandalphon	Abrahamic	archangel of song and prayer; weaver of crowns from the prayers of Israel; in some traditions identified with the prophet Elijah ascended; companion or twin of Metatron; one of the great angelic princes of the divine throne	song, prayer, crowns, angels	6208	Metatron	Elijah	
6775	Shakti	Hindu	divine feminine power, cosmic energy, creative power, transformative power, female personification of power	power, creation, transformation, feminine, energy	6132|7374|6739	Durga|Parvati|Kali		
7323	Shalim	Canaanite	dusk, evening twilight - paired twin with Shahar; toponymic root of Jerusalem and a divine name in early Canaanite-Hebrew religion	dusk, twilight, kingship	7322	Shahar		
7200	Shapash	Canaanite	sun, illumination, divine messenger between heaven and the underworld, justice - `nrt ilm shpsh` 'the luminary of the gods, Shapash'	sun, illumination, justice, messenger, underworld			Shamash	
7348	Shekhinah	Abrahamic	divine presence; indwelling presence of God in the Tabernacle, the Temple, with Israel in exile, with the studious; in Kabbalah, tenth Sefirah, divine femininity, "bride" of Tiferet seeking reunion	divine presence, wisdom, femininity, marriage				
6759	Shiva	Hindu	destruction, asceticism, yoga, dance, cremation grounds, death, phallic emblem, auspiciousness, cosmic time, boon-granting, poison healing	destruction, asceticism, yoga, dance, healing, death			Shankar|Mahadeva|Rudra	
7490	Shun	Chinese	one of the great sage-kings; raised from commoner status to the throne by Yao on the basis of his outstanding virtue and filial piety; model of the filial son and the meritocratic ruler	kingship, virtue, filial piety				
7211	Shuqamuna and Shumaliya	Mesopotamian	Kassite royal cult, divine protection of kings, bird-cult, warrior protection, divine couple of the Kassite dynasty	kingship, war, protection, bird-cult				
